Proprety_name,Year_Built,Property_Type,Tax (dollars/year),Total_room,Bedroom,Bathroom,Price (euros),Prop_size (m^2)
Paris XVIII- Triplex avec Terrasse,1930.0,apartment,1355.0,5.0,3.0,2.0,1090000.0,92
Paris XVI - Victor Hugo Foch - perfect 'Pied Ã terre',1974.0,apartment,2601.0,2.0,1.0,3.0,1060000.0,60
MarchÃ© Ordener - Villa Montcalm,1930.0,apartment,1304.0,5.0,3.0,2.0,1045000.0,98
Apartment,1989.0,apartment,1723.0,5.0,1.0,2.0,1000000.0,56
"Village Faidherbe, mixed-use workshop-loft rehabilitated into 4 rooms.",1890.0,apartment,2601.0,4.0,2.0,2.0,995000.0,88
Exelmans- Rue de Civry-Rue de Varize. Beautiful family apartment for sale,1960.0,apartment,1888.0,5.0,3.0,3.0,995000.0,104
Apartment,1850.0,apartment,805.0,3.0,2.0,2.0,990000.0,64
CafÃ© de Flore-Eglise Saint-Germain,1999.0,apartment,2601.0,5.0,1.0,2.0,979999.0,61
"Saint Thomas d'Aquin, bright and calm pied-Ã -terre.",1880.0,apartment,2601.0,2.0,1.0,2.0,979999.0,49
Duplex,1800.0,apartment,918.0,5.0,3.0,4.0,959999.0,72
APPARTEMENT FAMILIAL ENSOLEILLE - BALCON ET VUE DEGAGEE,1959.0,apartment,1413.0,4.0,3.0,2.0,950000.0,74
Paris 8th - Avenue des Champs ElysÃ©es,1971.0,apartment,2601.0,2.0,1.0,2.0,945000.0,57
Apartment,1860.0,apartment,984.0,3.0,2.0,2.0,930000.0,61
Paris IX Charming apartment with balcony and unobstructed views,1900.0,apartment,1003.0,5.0,2.0,3.0,914999.0,63
Jasmine-Mozart - Beautiful apartment of 90.74 sq.m,1953.0,apartment,2253.0,5.0,2.0,1.0,900000.0,90
Paris 14 / Montparnasse. 4 piÃ¨ces 3 chambres au 17Ã¨me et dernier Ã©tage,1966.0,apartment,822.0,5.0,2.0,2.0,899000.0,83
Paris XI - EXCLUSIVITY - Magnificent renovated apartment with a large terrace,2002.0,apartment,2601.0,5.0,1.0,2.0,899000.0,63
Magnificent newly renovated loft - Jules Joffrin,2015.0,apartment,1267.0,5.0,2.0,2.0,885000.0,64
Apartment in Paris 15th - Beaugrenelle,1963.0,apartment,1203.0,1.0,1.0,1.0,885000.0,39
Charming Haussmannian apartment,1890.0,apartment,2601.0,4.0,2.0,1.0,880000.0,59
Ã‰cole Militaire,1942.0,apartment,1529.0,5.0,1.0,2.0,874000.0,57
Apartment,1820.0,apartment,434.0,5.0,2.0,2.0,849999.0,89
ExclusivitÃ© 3 piÃ¨ces 2 chambres de 67mÂ² carrez et Jardin de 180mÂ²,1975.0,apartment,2601.0,3.0,2.0,2.0,839999.0,245
9th and top floor with 180Â° terrace overlooking Paris,1972.0,apartment,1812.0,4.0,2.0,2.0,799999.0,83
Charming 3-room apartment with balcony - Saint Ferdinand - Paris 17th,1925.0,apartment,2601.0,3.0,1.0,2.0,799999.0,66
Appartement 2 chambres Place des Vosges,1780.0,apartment,1571.0,3.0,2.0,1.0,779999.0,63
Appartement familial - Paris XVI,1968.0,apartment,963.0,3.0,2.0,3.0,779999.0,69
